"","gene_names","protein","log2FC","pval","TICI_1","VEH_1","TICI_2","TICI_3","VEH_3","TICI_4","VEH_4","TICI_5","VEH_5","log2FoldChange","padj","significance","Significance","pbs_tpm","tici_tpm","TICI_abundance","VEH_abundance","log10_pbs_tpm","log10_tici_tpm"
"651","Psma6","P60901",0.0538412094116225,0.598062851930284,18.28007,18.21129,17.93313,18.20963,18.10692,18.09599,18.00465,18.38739,18.18674,1.3292914547534,6.90953227621627e-23,"RNA only","RNA only (n = 966)",425.214464166667,927.324152333333,18.181242,18.1274,2.6286080291366,2.96723157121238
"652","Psma7","P48004",-0.0338249206542969,0.786902942890398,17.67934,17.68394,17.24275,17.61798,17.58226,17.45523,17.40391,17.7723,17.67927,0.829525315881309,2.48479729419602e-09,"RNA only","RNA only (n = 966)",584.616195,847.504866333333,17.55352,17.587345,2.76687084198569,2.9281422005809
"653","Psmb1","P18421",-0.0208509445190437,0.87242054512671,18.69768,18.67518,18.21925,18.6614,18.58853,18.42735,18.40112,18.75489,18.62703,0.66406401857749,8.40900778521162e-07,"RNA only","RNA only (n = 966)",318.231122833333,443.347838,18.552114,18.572965,2.50274265115533,2.6467445949549
"654","Psmb2","P40307",0.0335544586181626,0.698551049497444,16.72241,16.69561,16.52444,16.80335,16.78098,16.6548,16.55734,16.89782,16.71411,1.12100776327681,2.00857391486013e-19,"RNA only","RNA only (n = 966)",397.064141666667,736.380297833333,16.720564,16.68701,2.59886066827902,2.86710216025467
"655","Psmb3","P40112",-0.0937297344207764,0.392959525586064,15.3614,15.53628,15.23306,15.49975,15.57421,15.23721,15.39891,15.68593,15.4794,0.940954463401369,5.31130689738659e-13,"RNA only","RNA only (n = 966)",421.299681333333,669.027504833333,15.40347,15.4972,2.62459113063117,2.82544397270324
"656","Psmb4","P34067",-0.129789638519288,0.640643823001953,18.32856,18.66056,17.43738,18.3043,18.05388,17.6937,17.70347,18.0869,17.98192,0.553198242474925,0.000446067499496006,"RNA only","RNA only (n = 966)",227.137995,279.000869,17.970168,18.0999575,2.35628978784651,2.44560555596649
"657","Psmc1","P62193",-0.12215690612793,0.254312147050814,18.00783,18.1317,17.73006,18.02399,18.10349,17.93578,17.93474,18.18098,18.22161,0.693330462092119,7.16215853303509e-08,"RNA only","RNA only (n = 966)",261.054338333333,361.861693333333,17.975728,18.097885,2.41673091493257,2.55854261114223
"658","Psmc2","Q63347",-0.1094220161438,0.278544368286687,18.23981,18.2803,18.15813,18.26925,18.42284,18.28609,18.35922,18.54977,18.57777,0.710394950081475,2.68964525711603e-07,"RNA only","RNA only (n = 966)",179.520935666667,253.377918166667,18.30061,18.4100325,2.25411510313339,2.40376876352201
"659","Psmc3","Q63569",-0.0611579895019538,0.569549300058045,18.96795,18.96186,18.88873,19.02215,19.11246,19.05173,19.06242,19.3123,19.30218,0.835568121144941,2.39799517031721e-11,"RNA only","RNA only (n = 966)",273.168140833333,386.055980666667,19.048572,19.10973,2.43643004688687,2.58665028480604
"660","Psmc4","Q63570",-0.0921590805053718,0.340197061977395,18.22548,18.32843,18.02166,18.24813,18.30719,18.23285,18.20905,18.45061,18.46695,0.912573812819941,1.66399987571685e-11,"RNA only","RNA only (n = 966)",118.996980166667,190.697255,18.235746,18.327905,2.07553594026989,2.28034444162003
"661","Psmc5","P62198",0.00752096176147532,0.93357210715181,17.93721,18.01797,17.729,18.0116,17.92741,17.93272,17.81472,18.14375,18.01324,0.695622513271348,8.82487043691635e-07,"RNA only","RNA only (n = 966)",185.320140666667,257.685123666667,17.950856,17.943335,2.2679226211811,2.41108934716571
